NetworkAutomation Complete iPerf Log
========================================================================

[Test Information]
Test ID           : iperf-20260804-143729-3f350b
Schema Version    : 2.0
Test Type         : iperf3
Timestamp End     : 2026-08-04T14:37:29+08:00
Result            : PASS

[Parameters]
UE Data IP        : 192.168.3.2
LTE Band          : B5
Bandwidth         : 10.000 MHz
Cell              : 1
EARFCN            : 2525
Direction         : download
Duration          : 30 sec
Port              : 5201
Parallel Streams  : 1
Interval          : 1 sec
Reverse (-R)      : False

[Precheck]
UE Ping           : PASS
Ping Command      : ping -c 1 -W 2 192.168.3.2
Server Ready      : True
Server Action     : already_listening
Server Message    : iPerf Server 192.168.3.2:5201 已在 Listen。

[Summary]
Average           : 11.930 Mbps
Minimum           : 8.338 Mbps
Maximum           : 16.685 Mbps
Total Transfer    : 44.736 MB
Retransmissions   : 0
Packet Loss       : N/A %
Sample Count      : 30

[Interval Samples]
No.  Start    End      Mbps       MB         Retrans  Loss(%)  Omitted
---  -------  -------  ---------  ---------  -------  -------  -------
  1        0    1.000     15.463      1.933        0      N/A    False
  2    1.000    2.000      9.383      1.173        0      N/A    False
  3    2.000    3.000     13.032      1.629        0      N/A    False
  4    3.000    4.000     12.511      1.564        0      N/A    False
  5    4.000    5.000     16.682      2.085        0      N/A    False
  6    5.000    6.000      8.340      1.043        0      N/A    False
  7    6.000    7.000     12.511      1.564        0      N/A    False
  8    7.000    8.000     12.509      1.564        0      N/A    False
  9    8.000    9.000     12.511      1.564        0      N/A    False
 10    9.000   10.000     12.512      1.564        0      N/A    False
 11   10.000   11.000      8.338      1.043        0      N/A    False
 12   11.000   12.000     12.514      1.564        0      N/A    False
 13   12.000   13.000     12.510      1.564        0      N/A    False
 14   13.000   14.000     12.510      1.564        0      N/A    False
 15   14.000   15.000     12.512      1.564        0      N/A    False
 16   15.000   16.000     12.509      1.564        0      N/A    False
 17   16.000   17.000     12.511      1.564        0      N/A    False
 18   17.000   18.000     12.510      1.564        0      N/A    False
 19   18.000   19.000     12.511      1.564        0      N/A    False
 20   19.000   20.000     12.511      1.564        0      N/A    False
 21   20.000   21.000     12.512      1.564        0      N/A    False
 22   21.000   22.000      8.340      1.043        0      N/A    False
 23   22.000   23.000     12.508      1.564        0      N/A    False
 24   23.000   24.000     12.511      1.564        0      N/A    False
 25   24.000   25.000     16.685      2.085        0      N/A    False
 26   25.000   26.000      8.340      1.043        0      N/A    False
 27   26.000   27.000     12.511      1.564        0      N/A    False
 28   27.000   28.000     12.511      1.564        0      N/A    False
 29   28.000   29.000     12.511      1.564        0      N/A    False
 30   29.000   30.000     12.510      1.564        0      N/A    False

========================================================================
End of Log
