NetworkAutomation Complete iPerf Log
========================================================================

[Test Information]
Test ID           : iperf-20260804-105508-26fa8f
Schema Version    : 2.0
Test Type         : iperf3
Timestamp End     : 2026-08-04T10:55:08+08:00
Result            : PASS

[Parameters]
UE Data IP        : 192.168.3.2
LTE Band          : B5
Bandwidth         : 10.000 MHz
Cell              : 1
EARFCN            : 2525
Direction         : upload
Duration          : 30 sec
Port              : 5201
Parallel Streams  : 1
Interval          : 1 sec
Reverse (-R)      : True

[Precheck]
UE Ping           : PASS
Ping Command      : ping -c 1 -W 2 192.168.3.2
Server Ready      : True
Server Action     : already_listening
Server Message    : iPerf Server 192.168.3.2:5201 已在 Listen。

[Summary]
Average           : 4.703 Mbps
Minimum           : 4.328 Mbps
Maximum           : 5.139 Mbps
Total Transfer    : 17.637 MB
Retransmissions   : N/A
Packet Loss       : N/A %
Sample Count      : 30

[Interval Samples]
No.  Start    End      Mbps       MB         Retrans  Loss(%)  Omitted
---  -------  -------  ---------  ---------  -------  -------  -------
  1        0    1.000      4.923      0.615      N/A      N/A    False
  2    1.000    2.000      4.471      0.559      N/A      N/A    False
  3    2.000    3.000      4.677      0.585      N/A      N/A    False
  4    3.000    4.000      4.588      0.574      N/A      N/A    False
  5    4.000    5.000      4.629      0.579      N/A      N/A    False
  6    5.000    6.000      4.820      0.602      N/A      N/A    False
  7    6.000    7.000      4.606      0.576      N/A      N/A    False
  8    7.000    8.000      4.484      0.560      N/A      N/A    False
  9    8.000    9.000      4.681      0.585      N/A      N/A    False
 10    9.000   10.000      4.606      0.576      N/A      N/A    False
 11   10.000   11.000      4.484      0.560      N/A      N/A    False
 12   11.000   12.000      4.484      0.560      N/A      N/A    False
 13   12.000   13.000      4.559      0.570      N/A      N/A    False
 14   13.000   14.000      4.519      0.565      N/A      N/A    False
 15   14.000   15.000      4.577      0.572      N/A      N/A    False
 16   15.000   16.000      4.328      0.541      N/A      N/A    False
 17   16.000   17.000      4.542      0.568      N/A      N/A    False
 18   17.000   18.000      4.646      0.581      N/A      N/A    False
 19   18.000   19.000      4.895      0.612      N/A      N/A    False
 20   19.000   20.000      5.092      0.637      N/A      N/A    False
 21   20.000   21.000      5.139      0.642      N/A      N/A    False
 22   21.000   22.000      4.762      0.595      N/A      N/A    False
 23   22.000   23.000      5.081      0.635      N/A      N/A    False
 24   23.000   24.000      4.745      0.593      N/A      N/A    False
 25   24.000   25.000      4.692      0.587      N/A      N/A    False
 26   25.000   26.000      4.988      0.624      N/A      N/A    False
 27   26.000   27.000      4.762      0.595      N/A      N/A    False
 28   27.000   28.000      4.814      0.602      N/A      N/A    False
 29   28.000   29.000      4.895      0.612      N/A      N/A    False
 30   29.000   30.000      4.611      0.576      N/A      N/A    False

========================================================================
End of Log
